Cr1                                    103                              
Cr2                                    129                              
Cr3                                    133                              
Cr4                                    136                              
Cr5                                    146                              
Cr6                                    188                              
Cr7                                    225                              
Cr8                                  I1590                              
Cr9                                    366                              
Cr10                                   381                              
Cr11                                   436                              
Cr12                                   457                              
Cr13                                   559                              
Cr14                                   581                              
Cr16                                   609                              
Cr17                                   637                              
Cr18                                   654                              
Cr19                                   659                              
Cr20                                   663                              
Cr22                                   744                              
Cr23                                   752                              
Cr24                                   869                              
Cr25                                   884                              
Cr27                                   956                              
Cr28                                   957                              
Cr30                                  1027                              
Cr31                                  1039                              
Cr32                                 I1848                              
Cr33                                 I1848                              
Cr34                                 I1848                              
Cr35                                  1193                              
Cr37                                  1220                              
Cr38                                  1245                              
Cr40                                  1342                              
Cr41                                 I 348                              
Cr43                                  1444                              
Cr44                                  1496                              
Cr45                                  1502                              
Cr46                                  1513                              
Cr47                                  1528                              
Cr48                                 I 361                              
Cr49                                  1545                              
Cr51                                  1582                              
Cr52                                  1605                              
Cr53                                  1624                              
Cr54                                  1647                              
Cr55                                  1662                              
Cr56                                  1664                              
Cr57                                  1746                              
Cr58                                  1778                              
Cr59                                  1807                              
Cr60                                  1817                              
Cr61                                  1857                              
Cr63                                  1893                              
Cr64                                  1883                              
Cr66                                  1907                              
Cr67                                  1912                              
Cr68                                  1931                              
Cr71                                  1960                              
Cr72                                  1980                              
Cr73                                  1981                              
Cr75                                  2099                              
Cr76                                  2112                              
Cr77                                  2129                              
Cr78                                  2126                              
Cr79                                  2141                              
Cr81                                  2158                              
Cr82                                  2168                              
Cr83                                  2169                              
Cr84                                  2175                              
Cr85                                  2186                              
Cr86                                  2192                              
Cr87                                  2194                              
Cr88                                  2204                              
Cr90                                  2215                              
Cr93                                  2232                              
Cr94                                  2236                              
Cr98                                  2243                              
Cr99                                  2244                              
Cr100                                 2250                              
Cr101                                 2251                              
Cr102                                 2252                              
Cr103                                 2254                              
Cr108                                 2259                              
Cr109                                 2262                              
Cr112                                 2264                              
Cr113                                 2266                              
Cr114                                 2269                              
Cr116                                 2281                              
Cr117                                 2286                              
Cr118                                 2287                              
Cr119                                 2301                              
Cr120                                 2304                              
Cr122                                 2309                              
Cr123                                 2311                              
Cr124                                 2323                              
Cr125                                 2324                              
Cr126                                 2331                              
Cr127                                 2335                              
Cr128                                 2343                              
Cr129                                 2345                              
Cr130                                 2353                              
Cr131                                 2354                              
Cr133                                 2355                              
Cr134                                 2360                              
Cr136                                 2362                              
Cr137                                 2367                              
Cr138                                 2368                              
Cr139                                 2374                              
Cr141                                 2383                              
Cr142                                 2384                              
Cr143                                 2384                              
Cr144                                 2395                              
Cr148                                 2396                              
Cr149                                 2401                              
Cr150                                 2414                              
Cr151                                 2421                              
Cr152                                 2422                              
Cr153                                 2423                              
Cr154                                 2420                              
Cr157                                 2432                              
Cr158                                 2439                              
Cr159                                 2437                              
Cr160                                 2447                              
Cr161                                 2451                              
Cr162                                 2453                              
Cr163                                 2455                              
Cr164                                 2467                              
Cr165                                 2477                              
Cr166                                 2482                              
Cr169                                 2489                              
Cr170                                 2506                              
Cr171                                 2509                              
Cr172                                 2516                              
Cr174                                 2527                              
Cr175                                 2533                              
Cr176                                 2539                              
Cr177                                 2547                              
Cr178                                 2546                              
Cr179                                 2548                              
Cr180                                 2567                              
Cr181                                 2571                              
Cr182                                 2579                              
Cr183                                 2580                              
Cr184                                 2587                              
Cr186                                 2588                              
Cr188                                 2627                              
Cr189                                 2632                              
Cr190                                 2635                              
Cr191                                I2391                              
Cr192                                I2395                              
Cr193                                 2660                              
Cr194                                 2659                              
Cr195                                 2658                              
Cr199                                 2669                              
Cr200                                 2670                              
Cr201                                 2671                              
Cr204                                 2682                              
Cr206                                 2818                              
Cr207                                 2849                              
Cr208                                I2488                              
Cr209                                 2910                              
Cr210                                 2925                              
Cr211                                 2972                              
Cr212                                 3033                              
Cr214                                 3105                              
Cr215                                 3114                              
Cr218                                 3228                              
Cr221                                 3255                              
Cr222                                I2581                              
Cr224                                 3293                              
Cr225                                 3324                              
Cr226                                 3330                              
Cr229                                I2602                              
Cr237                                 3496                              
Cr238                                 3532                              
Cr239                                 3572                              
Cr242                                 3590                              
Cr244                                 3603                              
Cr245                                I2714                              
Cr247                                 3680                              
Cr248                                 3766                              
Cr250                                 3960                              
Cr251                                 4052                              
Cr252                                 4103                              
Cr253                                 4230                              
Cr254                                 4337                              
Cr255                                 4349                              
Cr259                                 4439                              
Cr260                                 4463                              
Cr263                                 4609                              
Cr264                                 4755                              
Cr265                                 4815                              
Cr266                                 4852                              
Cr267                                 5053                              
Cr270                                 5138                              
Cr273                                 5168                              
Cr276                                 5281                              
Cr278                                 5288                              
Cr279                                 5316                              
Cr280                                 5460                              
Cr281                                 5606                              
Cr282                                 5617                              
Cr284                                 5662                              
Cr286                                 5715                              
Cr287                                 5749                              
Cr288                                 5764                              
Cr289                                 5822                              
Cr290                                 5823                              
Cr291                                 5925                              
Cr293                                 5999                              
Cr294                                 6005                              
Cr296                                 6025                              
Cr297                                 6031                              
Cr298                                 6067                              
Cr300                                 6087                              
Cr301                                 6124                              
Cr303                                 6134                              
Cr304                                 6152                              
Cr305                                 6167                              
Cr306                                 6169                              
Cr308                                 6178                              
Cr309                                 6192                              
Cr310                                 6193                              
Cr311                                 6200                              
Cr312                                 6204                              
Cr313                                 6208                              
Cr314                                 6222                              
Cr315                                 6231                              
Cr317                                 6242                              
Cr319                                 6249                              
Cr320                                 6250                              
Cr321                                 6253                              
Cr322                                 6259                              
Cr323                                 6268                              
Cr324                                 6281                              
Cr325                                 6318                              
Cr326                                 6322                              
Cr327                                I4651                              
Cr328                                 6352                              
Cr330                                 6355                              
Cr334                                 6374                              
Cr335                                 6383                              
Cr339                                 6396                              
Cr340                                 6404                              
Cr341                                 6405                              
Cr342                                 6400                              
Cr344                                 6416                              
Cr346                                 6426                              
Cr348                                 6425                              
Cr349                                I4665                              
Cr352                                 6451                              
Cr353                                 6469                              
Cr354                                 6475                              
Cr356                                 6494                              
Cr358                                 6507                              
Cr360                                 6514                              
Cr361                                 6520                              
Cr362                                 6530                              
Cr363                                 6531                              
Cr364                                 6540                              
Cr365                                 6546                              
Cr366                                 6544                              
Cr368                                 6558                              
Cr369                                 6568                              
Cr370                                 6583                              
Cr371                                 6595                              
Cr373                                 6604                              
Cr374                                 6603                              
Cr375                                 6611                              
Cr376                                 6613                              
Cr377                                 6618                              
Cr379                                 6631                              
Cr380                                 6633                              
Cr381                                 6642                              
Cr382                                I4725                              
Cr383                                 6645                              
Cr384                                 6649                              
Cr385                                 6664                              
Cr386                                I4756                              
Cr389                                 6694                              
Cr390                                 6704                              
Cr391                                 6705                              
Cr392                                 6709                              
Cr393                                 6716                              
Cr395                                 6717                              
Cr396                                 6738                              
Cr397                                 6755                              
Cr398                                 6756                              
Cr400                                 6802                              
Cr402                                 6811                              
Cr403                                 6819                              
Cr404                                 6820                              
Cr405                                 6823                              
Cr406                                 6830                              
Cr407                                 6834                              
Cr409                                 6838                              
Cr410                                 6846                              
Cr412                                 6866                              
Cr413                                 6871                              
Cr414                                I1311                              
Cr415                                 6883                              
Cr416                                 6882                              
Cr417                                 6885                              
Cr418                                I4996                              
Cr420                                 6910                              
Cr422                                 6913                              
Cr423                                 6939                              
Cr424                                 6940                              
Cr425                                 6996                              
Cr426                                 6994                              
Cr429                                 7023                              
Cr430                                 7031                              
Cr431                                 7039                              
Cr432                                I1369                              
Cr433                                 7044                              
